,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
3246,2.0,2021-07-01 02:02:28,2021-07-01 02:12:57,1.0,2.1,1.0,N,87,79,1.0,10.0,0.5,0.5,2.76,0.0,0.3,16.56,2.5
3247,2.0,2021-07-01 02:15:37,2021-07-01 02:27:28,1.0,2.78,1.0,N,79,230,2.0,11.0,0.5,0.5,0.0,0.0,0.3,14.8,2.5
3248,2.0,2021-07-01 02:37:04,2021-07-01 02:58:58,1.0,6.12,1.0,N,125,36,1.0,21.0,0.5,0.5,4.96,0.0,0.3,29.76,2.5
3249,2.0,2021-07-01 02:27:43,2021-07-01 02:39:25,1.0,5.09,1.0,N,141,69,1.0,16.0,0.5,0.5,0.0,0.0,0.3,19.8,2.5
3250,1.0,2021-07-01 02:30:43,2021-07-01 02:56:19,1.0,11.0,1.0,N,138,126,2.0,33.0,1.75,0.5,0.0,6.55,0.3,42.1,0.0
3251,1.0,2021-07-01 02:09:14,2021-07-01 02:21:38,1.0,9.9,1.0,N,138,148,1.0,27.5,4.25,0.5,6.5,0.0,0.3,39.05,2.5
3252,1.0,2021-07-01 02:07:48,2021-07-01 02:07:48,1.0,0.0,1.0,Y,90,264,2.0,8.5,3.0,0.5,0.0,0.0,0.3,12.3,2.5
3253,1.0,2021-07-01 02:27:40,2021-07-01 02:28:17,1.0,0.0,5.0,N,97,97,1.0,19.8,0.0,0.0,4.0,0.0,0.3,24.1,0.0
3254,2.0,2021-07-01 02:21:10,2021-07-01 02:28:39,1.0,1.76,1.0,N,90,233,1.0,8.0,0.5,0.5,1.0,0.0,0.3,12.8,2.5
3255,2.0,2021-07-01 02:45:20,2021-07-01 02:56:47,1.0,4.27,1.0,N,90,263,2.0,13.5,0.5,0.5,0.0,0.0,0.3,17.3,2.5
3256,2.0,2021-07-01 02:50:57,2021-07-01 02:53:53,1.0,0.75,1.0,N,263,236,2.0,4.5,0.5,0.5,0.0,0.0,0.3,8.3,2.5
3257,1.0,2021-07-01 02:27:06,2021-07-01 02:33:44,3.0,1.4,1.0,N,144,13,1.0,7.0,3.0,0.5,2.15,0.0,0.3,12.95,2.5
3258,1.0,2021-07-01 02:42:59,2021-07-01 02:52:37,3.0,2.4,1.0,N,211,186,1.0,10.0,3.0,0.5,2.0,0.0,0.3,15.8,2.5
3259,2.0,2021-07-01 02:35:04,2021-07-01 02:40:46,6.0,1.95,1.0,N,230,68,2.0,7.5,0.5,0.5,0.0,0.0,0.3,11.3,2.5
3260,2.0,2021-07-01 02:44:47,2021-07-01 02:57:02,6.0,3.94,1.0,N,186,151,1.0,13.5,0.5,0.5,3.46,0.0,0.3,20.76,2.5
3261,1.0,2021-07-01 02:00:26,2021-07-01 02:12:01,1.0,0.8,1.0,N,265,265,1.0,9.0,0.5,0.5,2.06,0.0,0.3,12.36,0.0
3262,2.0,2021-07-01 02:10:19,2021-07-01 02:28:04,1.0,4.94,1.0,N,186,75,1.0,17.0,0.5,0.5,3.0,0.0,0.3,23.8,2.5
3263,2.0,2021-07-01 02:07:50,2021-07-01 02:19:26,2.0,2.2,1.0,N,148,90,1.0,10.0,0.5,0.5,4.14,0.0,0.3,17.94,2.5
3264,2.0,2021-07-01 02:25:56,2021-07-01 02:38:45,2.0,4.04,1.0,N,246,236,1.0,14.0,0.5,0.5,3.56,0.0,0.3,21.36,2.5
3265,2.0,2021-07-01 02:34:07,2021-07-01 02:40:46,1.0,3.65,1.0,N,138,93,2.0,12.0,0.5,0.5,0.0,0.0,0.3,14.55,0.0
3266,2.0,2021-07-01 02:01:14,2021-07-01 02:13:40,1.0,3.39,1.0,N,186,238,1.0,12.5,0.5,0.5,0.0,0.0,0.3,16.3,2.5
3267,2.0,2021-07-01 02:59:09,2021-07-01 03:11:02,1.0,2.4,1.0,N,164,140,2.0,10.5,0.5,0.5,0.0,0.0,0.3,14.3,2.5
3268,1.0,2021-07-01 02:00:47,2021-07-01 02:14:13,1.0,7.6,5.0,N,138,41,1.0,40.0,1.25,0.0,5.0,6.55,0.3,53.1,0.0
3269,1.0,2021-07-01 02:57:54,2021-07-01 03:12:44,1.0,3.6,1.0,N,79,80,1.0,14.5,3.0,0.5,3.65,0.0,0.3,21.95,2.5
3270,2.0,2021-07-01 02:53:36,2021-07-01 02:56:52,1.0,0.51,1.0,N,125,231,1.0,4.5,0.5,0.5,1.66,0.0,0.3,9.96,2.5
3271,2.0,2021-07-01 02:07:21,2021-07-01 02:07:23,1.0,0.0,5.0,N,264,264,1.0,11.5,0.0,0.5,2.46,0.0,0.3,14.76,0.0
3272,2.0,2021-07-01 02:46:22,2021-07-01 03:13:10,1.0,19.84,1.0,N,132,81,1.0,53.0,0.5,0.5,5.0,6.55,0.3,67.1,0.0
3273,1.0,2021-07-01 02:42:56,2021-07-01 02:44:15,1.0,0.6,1.0,N,107,137,2.0,4.0,3.0,0.5,0.0,0.0,0.3,7.8,2.5
